"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 13 16:28:46 IST 2020","Mon Jan 13 16:28:46 IST 2020","1","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","When I landed to the cricinfo home page","When I landed to the cricinfo home page",""
"passed","Mon Jan 13 17:47:09 IST 2020","Mon Jan 13 17:47:09 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Hook","Hook",""
"passed","Mon Jan 13 18:00:35 IST 2020","Mon Jan 13 18:00:41 IST 2020","5964","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","When I landed to the cricinfo home page","When I landed to the cricinfo home page",""
"unknown","Mon Jan 13 17:55:14 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1578918314980","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","Given I'm a Cricinfo user and landed on the cricinfo home page","Given I'm a Cricinfo user and landed on the cricinfo home page",""
"unknown","Mon Jan 13 17:47:09 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1578917829441","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Given I'm a Cricinfo user and landed on the cricinfo home page","Given I'm a Cricinfo user and landed on the cricinfo home page",""
"passed","Mon Jan 13 18:00:42 IST 2020","Mon Jan 13 18:00:42 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","Hook","Hook",""
"skipped","Mon Jan 13 17:47:09 IST 2020","Mon Jan 13 17:47:09 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Then I expect key series module should be displayed (undefined step)","Then I expect key series module should be displayed (undefined step)",""
"skipped","Mon Jan 13 16:28:46 IST 2020","Mon Jan 13 16:28:46 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Given I'm a Cricinfo user","Given I'm a Cricinfo user",""
"passed","Mon Jan 13 18:00:41 IST 2020","Mon Jan 13 18:00:42 IST 2020","1047","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","Then I expect the title should match","Then I expect the title should match",""
"passed","Mon Jan 13 18:00:35 IST 2020","Mon Jan 13 18:00:35 IST 2020","368","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","Given I'm a Cricinfo user","Given I'm a Cricinfo user",""
"unknown","Mon Jan 13 17:47:09 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1578917829441","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Then I expect key series module should be displayed","Then I expect key series module should be displayed",""
"skipped","Mon Jan 13 17:47:09 IST 2020","Mon Jan 13 17:47:09 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","","CricinfoHomePage LHS and RHS tests: Verify key series module displayed","Given I'm a Cricinfo user and landed on the cricinfo home page (undefined step)","Given I'm a Cricinfo user and landed on the cricinfo home page (undefined step)",""
"skipped","Mon Jan 13 17:55:14 IST 2020","Mon Jan 13 17:55:14 IST 2020","0","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","","CricinfoHomePage LHS and RHS tests: Verify Cricinfo Home page title","Given I'm a Cricinfo user and landed on the cricinfo home page (undefined step)","Given I'm a Cricinfo user and landed on the cricinfo home page (undefined step)",""
